PMRP_SUBJECT_ID,EXOME_ID
1042,MC.158381@1075680551
1051,1817537-1-0238040467
1063,MC.163187@1082087061
1075,MC.AMD120553@0124011069
1077,MC.AMD106606@0123911383
1123,2726402-1-0238040837
1128,MC.AMD125546@0124013743
1139,MC.AMD133363@0124011044
1147,MC.AMD109300@0124011054
1150,6841111-1-0238040861
1157,7252766-1-0238040603
1166,MC.160531@1075680584
1174,MC.156334@1075680595
1180,MC.AMD114741@0124011039
1183,MC.157345@1075680597
1193,MC.159056@1075680602
1194,
1196,MC.158570@1075680607
1232,MC.AMD108597@0124011025
1235,MC.159141@1075680633
1242,MC.AMD101473@0124011028
1264,MC.160494@1075641596
1272,MC.AMD124164@0123890270
1280,
1282,MC.AMD111533@0123890261
1296,8798326-1-0238039762
1297,MC.AMD107532@0124011021
1304,2887024-1-0238039752
1307,MC.157730@1075641619
1321,MC.AMD104213@0123890265
1335,6622814-1-0238040647
1347,4367890-1-0238039761
1350,MC.158596@1075642211
1351,MC.AMD100889@0123890252
1353,MC.AMD119098@0123890266
1356,MC.157796@1075642210
1370,MC.159936@1075642205
1383,MC.AMD111399@0123890253
1395,MC.AMD115195@0124011000
1396,MC.AMD105535@0124011004
1398,MC.AMD112345@0124011003
1409,2871697-1-0238042291
1420,MC.AMD106852@0123890246
1423,
1441,MC.AMD102319@0123890236
1442,MC.AMD103343@0123890234
1444,MC.AMD105474@0124011007
1448,
1449,MC.AMD101768@0124011005
1458,MC.154500@1075680613
1470,3945280-1-0238042297
1471,MC.AMD108527@0123890238
1472,MC.159434@1075642216
1478,MC.AMD110518@0124010994
1481,MC.160803@1075642252
1482,MC.160780@1075690526
1485,MC.AMD105406@0123861382
1488,MC.163002@1082087078
1492,8351344-1-0238094638
1494,MC.158390@1075642214
1499,8494092-1-0238040663
1516,MC.161328@1075642263
1517,MC.161073@1075642254
1548,
1549,MC.159939@1075642274
1554,MC.159734@1075642276
1563,MC.AMD135452@0123890215
1564,MC.160629@1075642279
1568,MC.AMD114548@0123909116
1587,MC.159948@1075642283
1590,9249974-1-0238040864
1609,MC.AMD121182@0123889927
1634,MC.AMD103597@0124011452
1637,
1639,MC.AMD135266@0124015189
1645,8027551-1-0238042247
1646,9465309-1-0238042270
1648,MC.AMD102035@0123890243
1650,2826251-1-0238040671
1652,MC.AMD105583@0124011453
1654,MC.AMD130901@0123890231
1662,MC.157676@1075642228
1666,8088138-1-0238040872
1671,5752844-1-0238042312
1680,MC.AMD106545@0124011433
1689,2231834-1-0238042319
1693,4959788-1-0238042287
1695,
1696,MC.156130@1075642240
1698,MC.159752@1075642236
1710,MC.160697@1075642237
1711,MC.AMD114846@0124011447
1712,MC.157814@1075642242
1719,MC.161262@1075642286
1725,MC.159179@1075680624
1727,MC.AMD117659@0123889950
1728,6639910-1-0238040228
1734,1124527-1-0238040300
1747,
1751,MC.160634@1075642395
1756,MC.AMD104289@0123889962
1760,MC.160090@1075680625
1762,MC.159674@1075642394
1767,MC.157366@1075642290
1770,
1771,MC.158403@1075642416
1781,MC.AMD104719@0124011440
1782,MC.AMD134002@0124011441
1784,MC.159690@1075642411
1786,8268975-1-0238040317
1787,MC.AMD133885@0124011431
1794,MC.AMD134909@0124011442
1798,MC.158594@1075642399
1803,MC.158924@1075642400
1830,MC.AMD105155@0124011428
1863,MC.AMD118297@0124011422
1866,MC.159526@1075642410
1867,MC.159542@1075642427
1882,6647466-1-0238040275
1890,MC.160578@1075642431
1895,MC.157743@1075642418
1897,MC.157484@1075642425
1899,MC.AMD117897@0123890753
1912,6610062-1-0238040313
1921,MC.AMD116857@0123890756
1931,2855904-1-0238040258
1933,MC.AMD111824@0123890757
1941,MC.AMD107361@0123890771
1956,2196315-1-0238042180
1957,2008244-1-0238040257
1972,9470916-1-0238042149
1976,MC.160271@1075642451
1981,4235549-1-0238042187
1982,MC.159643@1075642453
1985,MC.AMD106265@0124011411
1991,4824716-1-0238042179
1995,MC.158115@1075642452
2002,MC.AMD109809@0123890740
2010,MC.157352@1075642464
2036,MC.AMD105482@0124011415
2053,MC.157496@1075642457
2085,MC.AMD105139@0124008436
2089,
2092,MC.159515@1075642470
2098,MC.AMD108737@0123890731
2110,MC.AMD101373@0123890727
2115,1607867-1-0238042241
2122,MC.159413@1075642477
2141,MC.AMD110182@0123907483
2142,MC.AMD135603@0123890716
2150,5938858-1-0238042193
2151,6088784-1-0238040679
2164,3428326-1-0238042218
2175,
2185,MC.AMD101054@0124011397
2193,MC.161330@1075680638
2197,
2206,5706557-1-0238042068
2208,MC.160398@1075642015
2222,MC.AMD106162@0123890704
